"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"CUST_ID",0.229657674129561,0.194475160878344,-1.40596506677366,1.48775293921431,0,"Rejected"
"BNK_LNIF_CNT",5.54113523427517,5.56263996152365,3.18925972915634,7.59538449922747,0.98989898989899,"Confirmed"
"CPT_LNIF_CNT",8.0429756160101,8.04649098677355,4.27650862600504,10.3154551690443,1,"Confirmed"
"SPART_LNIF_CNT",11.0057477120308,11.1865023838162,7.94789813648531,13.4764715311094,1,"Confirmed"
"ECT_LNIF_CNT",10.2061316975483,10.5202099208091,3.97553499396304,13.0840331121712,1,"Confirmed"
"TOT_LNIF_AMT",18.1634197387812,18.2010807392419,14.2455552827563,21.6317163999868,1,"Confirmed"
"TOT_CLIF_AMT",14.9943417132162,15.8834865430015,7.60816916932805,19.1597494428651,1,"Confirmed"
"BNK_LNIF_AMT",13.0239547225312,13.0255281299542,9.24718779937174,15.3405461106937,1,"Confirmed"
"CPT_LNIF_AMT",7.61498929172338,7.4062093234254,4.4386662086961,12.0545365417112,1,"Confirmed"
"CRDT_OCCR_MDIF",28.914701274274,28.9154658997697,19.5296431826972,33.8116400289958,1,"Confirmed"
"SPTCT_OCCR_MDIF",15.0024081003712,15.1269347340276,11.2882163730011,17.9275606115563,1,"Confirmed"
"CRDT_CARD_CNT",25.635269813898,25.6273149235598,23.266271262486,28.4338908202324,1,"Confirmed"
"CTCD_OCCR_MDIF",17.6943401509579,17.7070971219476,15.1556894663604,19.7277087852877,1,"Confirmed"
"CB_GUIF_CNT",11.173699169632,11.278411624265,8.46781110530468,13.9401790184412,1,"Confirmed"
"CB_GUIF_AMT",20.8901538103765,21.000167313488,16.1497641006603,24.1905413287711,1,"Confirmed"
"CUST_JOB_INCM",10.3354756418373,10.6301657396476,5.78286034405808,15.341931110717,1,"Confirmed"
"HSHD_INFR_INCM",21.3411471494654,21.9047327449977,12.1680495625704,25.2727804984929,1,"Confirmed"
"ACTL_FMLY_NUM",6.97977563529451,6.81435839576404,3.69153379510419,10.5298807350255,1,"Confirmed"
"CUST_FMLY_NUM",3.77443716022223,3.81220191319249,1.66566037445983,5.6877560412078,0.787878787878788,"Confirmed"
"LAST_CHLD_AGE",6.33901324581813,6.37345719885608,3.69109227766784,8.96807348679986,1,"Confirmed"
"MATE_OCCP_NAME_G",5.81037411755971,5.89439966306,3.88817059938488,7.78577202796715,1,"Confirmed"
"MATE_JOB_INCM",7.60940671751413,7.42808135183825,4.93851230088885,9.94049915282229,1,"Confirmed"
"CRDT_LOAN_CNT",1.75649268410547,1.68336324861968,0.360059093716298,3.57485842145004,0.0404040404040404,"Rejected"
"MIN_CNTT_DATE",5.74264549633568,5.84941505143829,3.32786927213987,7.72249674539152,1,"Confirmed"
"TOT_CRLN_AMT",3.87714367721875,3.90243432564166,1.75426600978324,6.34796624153367,0.888888888888889,"Confirmed"
"TOT_REPY_AMT",2.94950082200572,2.98842770277219,0.416685458717194,5.75527653191186,0.575757575757576,"Confirmed"
"CRLN_OVDU_RATE",3.26072469492239,3.23023646654231,-0.639748665901666,6.38347124622236,0.727272727272727,"Confirmed"
"CRLN_30OVDU_RATE",-1.58421773751758,-1.54868763295117,-3.25698563915348,-0.0288185422696087,0,"Rejected"
"LT1Y_CLOD_RATE",-0.0561445903967652,0.0890252997029753,-1.26876422304959,1.29637763938166,0,"Rejected"
"STRT_CRDT_GRAD",2.53812705695456,2.49185332777304,0.399709438244825,4.54938986522623,0.424242424242424,"Rejected"
"LTST_CRDT_GRAD",2.13779506119232,2.17445080226137,0.51515533557227,5.2177168252355,0.151515151515152,"Rejected"
"PREM_OVDU_RATE",9.39239044314805,9.43137583039501,5.86373971226497,12.783038013387,1,"Confirmed"
